0	50721	,tense_pause,	38
1	72753	quiet_rider	57
2	8382	sudden_passion	79
3	45540	noisy_telephone	55
4	38755	annual_population	94
5	9149	dirty_tail	8
6	9886	ashamed_ring	28
7	89049	domestic_peanut	69
8	18318	prolonged_poll	57
9	30314	strong_cat	90
10	4420	accessible_lecture	11
11	44778	crude_sculpture	100
12	39668	systematic_censorship	36
13	41151	eternal_tent	45
14	88870	possible_player	23
15	78366	restricted_disorder	51
16	227	fragrant_absorption	7
17	92291	false_pin	36
18	70074	hard_director	60
19	99320	ambiguous_top	2
20	80548	popular_leaf	86
21	29975	flexible_designer	3
22	98827	modest_chalk	98
23	7356	blank_loan	46
24	29302	occupational_grain	55
25	14028	presidential_coast	63
26	11045	decorative_pasture	55
27	37635	dead_sweet	36
28	46924	fast_guest	23
29	26102	passionate_thesis	19
30	98104	sexual_sailor	93
31	18664	effective_tear	19
32	24530	implicit_rose	84
33	45370	lively_cassette	99
34	63517	balanced_age	31
35	27290	low_archive	86
36	46955	flawed_plastic	41
37	57670	poor_tiger	89
38	70373	general_pole	97
39	25674	attractive_limitation	53
40	29523	addicted_deviation	76
41	13138	afraid_harvest	89
42	37813	generous_dialogue	87
43	3904	unemployed_chauvinist	4
44	12786	controversial_supply	15
45	2809	surprised_gear	65
46	56795	inadequate_log	70
47	83033	cold_salt	8
48	41159	abstract_rest	41
49	82957	comprehensive_anticipation	69
50	7935	professional_lemon	42
51	91050	mechanical_syllable	51
52	472	ambitious_liability	50
53	80787	skilled_draft	67
54	43115	moral_tape	72
55	2812	international_angel	99
56	68286	shy_maid	90
57	74366	current_matrix	65
58	21624	finished_thumb	5
59	61140	provincial_heat	21
60	18329	influential_rush	40
61	44416	reliable_robot	45
62	60191	musical_penalty	83
63	16996	frequent_cluster	20
64	66175	neutral_charity	97
65	5615	cruel_game	13
66	78016	minor_giant	79
67	56393	competent_drawing	63
68	46226	loose_surgery	81
69	20072	young_habitat	50
70	84564	pregnant_acceptance	65
71	70617	varied_thanks	7
72	13598	heavy_advantage	21
73	54988	married_maze	0
74	19676	early_chapter	0
75	18915	safe_loss	4
76	40364	residential_literacy	29
77	28583	linear_fund	31
78	24594	aggressive_accumulation	38
79	55853	ignorant_agony	38
80	90063	old_chicken	67
81	31964	grand_rhythm	23
82	61261	major_garden	54
83	27769	decisive_art	85
84	75942	alert_coin	16
85	84357	forward_hallway	4
86	93071	sound_manuscript	82
87	40729	visual_grounds	58
88	88626	mathematical_celebration	37
89	89023	constructive_carrot	57
90	81220	dark_education	68
91	50112	constitutional_margin	4
92	67232	cautious_ruin	64
93	67556	environmental_chemistry	71
94	46640	tasty_syndrome	2
95	57119	realistic_disagreement	73
96	58088	insufficient_machine	82
97	87862	legislative_apparatus	35
98	48544	middle-class_patience	38
99	91749	exotic_gravel	3
100	32708	glad_acquisition	66
101	68118	statistical_appetite	27
102	44910	cool_approval	37
103	69202	beautiful_roof	43
104	84370	proper_diet	45
105	61460	clean_amendment	54
106	21235	unanimous_gold	91
107	41811	cooperative_participant	20
108	65341	bureaucratic_aisle	23
109	80375	spontaneous_drop	23
110	60741	traditional_taxi	7
111	56441	delicate_seed	85
112	51080	warm_citizen	96
